dataset,model,model_display,threshold,metric,estimate,ci_low,ci_high,bootstrap_rounds_used
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,precision,0.8300653594771242,0.8078907653611211,0.8518383656547472,300
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,mcc,0.9037232400061956,0.8910127645466829,0.9163337340863837,300
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,pr_auc,0.9881612219101162,0.9838195234681122,0.9920225031341724,300
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,roc_auc,0.9992059012399337,0.9986010744845262,0.9997319684758048,300
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,expected_cost_per_10k,295.5,167.85625,450.8124999999999,300
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,recall,0.9877641824249166,0.980236210976086,0.9943663540936653,300
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,precision,0.8191881918819188,0.7952071473348921,0.8434005180928644,300
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,mcc,0.8970956796702755,0.8829734080767495,0.910617631438343,300
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,pr_auc,0.9868066243260644,0.9820120887985655,0.9912755169610777,300
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,roc_auc,0.9990005632428656,0.9981988684125044,0.9996196745965688,300
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,expected_cost_per_10k,324.0,175.61875,493.4437499999999,300
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,recall,0.9844271412680756,0.9759483544329153,0.9920184369056974,300
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,precision,0.8217270194986073,0.7981175595238096,0.843351634897913,300
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,mcc,0.8969632589603936,0.8824846629128257,0.9099938001021026,300
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,pr_auc,0.9849959024452843,0.9794177797177602,0.9901492408515874,300
