dataset,model,epoch,train_loss,val_loss
D2_Online_Fraud,MLP_Focal_SMOTE,5,0.0014494452494779294,0.03510672599077225
D2_Online_Fraud,MLP_Focal_SMOTE,6,0.0012056526845012278,0.04018281027674675
D2_Online_Fraud,MLP_Focal_SMOTE,7,0.0010019219450884186,0.026369674131274223
D3_PaySim,MLP_Focal,1,0.050872814819394124,0.007496359292417765
D3_PaySim,MLP_Focal,2,0.00544778051017414,0.003697586478665471
D3_PaySim,MLP_Focal,3,0.003974804821025048,0.0029253081884235144
D3_PaySim,MLP_Focal,4,0.0035244292424370847,0.0026433118619024754
D3_PaySim,MLP_Focal,5,0.00332202006220108,0.0024660159833729267
D3_PaySim,MLP_Focal,6,0.003129545085516477,0.002415437251329422
D3_PaySim,MLP_Focal,7,0.003050067380721134,0.0023554752115160227
D3_PaySim,MLP_Focal,8,0.0029819648978965624,0.0022956589236855507
D3_PaySim,MLP_Focal,9,0.0029481209607587922,0.0024035731330513954
D3_PaySim,MLP_Focal,10,0.002804856507166747,0.002278254134580493
D3_PaySim,MLP_Focal,11,0.0027270096017875606,0.0021518818102777004
D3_PaySim,MLP_Focal,12,0.0026749305996216005,0.0021529411897063255
D3_PaySim,MLP_Focal,13,0.002607848395460418,0.002015409991145134
D3_PaySim,MLP_Focal,14,0.0026104651883037556,0.0020270468667149544
D3_PaySim,MLP_Focal,15,0.002544719151162084,0.0019414807902649045
