dataset,model,model_display,threshold,recall,precision,f1,mcc,roc_auc,pr_auc,false_alerts_per_10k,missed_frauds_per_10k,expected_cost_per_10k,train_time_s
D1_Kaggle_CC,XGB_ADASYN,XGBoost + ADASYN,0.33,0.8315789473684211,0.37264150943396224,0.5146579804560261,0.555671931473759,0.9631104203112503,0.787555005652682,23.437775349804394,2.8195819969689495,305.39597504669933,3.3664368460001697
D1_Kaggle_CC,LR_balanced,LogReg balanced,0.9,0.8421052631578947,0.22727272727272727,0.3579418344519016,0.4359743548884699,0.9616061963880416,0.68425477631534,47.93289394847214,2.64335812215839,312.26870616431114,2.8297763609998583
D2_Online_Fraud,XGB,XGBoost,0.03,0.9417249417249417,0.44938820912124583,0.608433734939759,0.6473570065979041,0.9979783188727138,0.9110798843713126,82.5,4.166666666666667,499.16666666666663,1.6140400039998894
D2_Online_Fraud,LightGBM,LightGBM balanced,0.03,0.958041958041958,0.42024539877300615,0.5842217484008528,0.6311287776306518,0.9981028690803582,0.9226575301297775,94.5,2.9999999999999996,394.5,4.212956938999923
D2_Online_Fraud,XGB_spw,XGBoost scale_pos_weight,0.44,0.9393939393939394,0.41122448979591836,0.5720369056068133,0.6179879792672124,0.997105019615973,0.8947749462008046,96.16666666666667,4.333333333333333,529.5,1.6135058039999421
D2_Online_Fraud,CatBoost,CatBoost balanced,0.5,0.9487179487179487,0.34786324786324785,0.5090681676047529,0.5702794028329576,0.9963752485281419,0.8571049428706979,127.16666666666666,3.6666666666666665,493.83333333333337,7.211784708999858
D2_Online_Fraud,XGB_SMOTE,XGBoost + SMOTE,0.07,0.958041958041958,0.2367511520737327,0.37967667436489605,0.47038550873510626,0.9940599176888647,0.8292015143322358,220.83333333333334,2.9999999999999996,520.8333333333334,12.157790365999972
D2_Online_Fraud,XGB_ADASYN,XGBoost + ADASYN,0.1,0.9533799533799534,0.20317933432687532,0.33497133497133497,0.43349370100439527,0.9923319254033864,0.830760741137082,267.33333333333337,3.333333333333333,600.6666666666666,11.647472691000075
D2_Online_Fraud,BRF,Balanced RF,0.42,0.9417249417249417,0.17346500644053242,0.29296591733139954,0.39668209593610865,0.9894631033020518,0.8056466551834334,320.8333333333333,4.166666666666667,737.5,4.640182923999873
D2_Online_Fraud,RF,Random Forest,0.02,0.972027972027972,0.14698625308424393,0.25535823637477034,0.3697405635856319,0.9915170665283976,0.8599980119327586,403.3333333333333,2.0,603.3333333333334,20.576414560000103
D2_Online_Fraud,EasyEnsemble,EasyEnsemble,0.48,0.9370629370629371,0.08562300319488818,0.15690866510538642,0.27136949881236017,0.9801355331646917,0.5542207314280599,715.5,4.5,1165.5,2.2530869549998442
D2_Online_Fraud,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.02,0.5128205128205128,0.08308157099697885,0.14299642508937277,0.19364765895889388,0.8256829258491141,0.1790337563536135,404.66666666666663,34.833333333333336,3888.0,28.527217569999948
D2_Online_Fraud,LR_balanced,LogReg balanced,0.59,0.7482517482517482,0.056894718185040764,0.10574864108054687,0.19021157432669375,0.8903021404909909,0.1708061723932961,886.8333333333334,18.0,2686.8333333333335,19.495250306000116
D2_Online_Fraud,MLP_Focal,MLP + Focal Loss,0.15,0.5757575757575758,0.07053112507138778,0.12566776901551768,0.18728657035169366,0.8372542192605648,0.19417853541995872,542.5,30.333333333333332,3575.833333333333,14.122481520000065
D3_PaySim,LightGBM,LightGBM balanced,0.1,0.9866518353726362,0.8914572864321608,0.9366420274551215,0.9363722534461396,0.9988688203411722,0.990418222461772,27.0,2.9999999999999996,327.0,2.1637140410000484
D3_PaySim,XGB,XGBoost,0.09,0.9899888765294772,0.830999066293184,0.9035532994923858,0.9047680921879029,0.9992479190040885,0.988542769342702,45.25000000000001,2.25,270.25,0.8414513789998637
D3_PaySim,XGB_spw,XGBoost scale_pos_weight,0.41,0.9888765294771968,0.8300653594771242,0.9025380710659898,0.9037232400061956,0.9992059012399337,0.9881612219101162,45.5,2.5,295.5,0.7774104919999445
D3_PaySim,XGB_SMOTE,XGBoost + SMOTE,0.48,0.9877641824249166,0.8191881918819188,0.8956127080181543,0.8970956796702755,0.9990005632428656,0.9868066243260644,49.0,2.75,324.0,1.2896957560001283
D3_PaySim,XGB_ADASYN,XGBoost + ADASYN,0.74,0.9844271412680756,0.8217270194986073,0.895748987854251,0.8969632589603936,0.9987448722041224,0.9849959024452843,47.99999999999999,3.5,398.0,1.2470039539998652
D3_PaySim,CatBoost,CatBoost balanced,0.62,0.9877641824249166,0.8139321723189734,0.892462311557789,0.8941306307577194,0.9991823462577264,0.9850979879772638,50.75,2.75,325.75,4.29388433500003
D3_PaySim,RF,Random Forest,0.1,0.985539488320356,0.7690972222222222,0.8639687957094101,0.8674192026531906,0.9984121723044673,0.9829085261177185,66.5,3.25,391.5,6.333559462000039
D3_PaySim,MLP_Focal_SMOTE,MLP + Focal + SMOTE,0.42,0.982202447163515,0.583994708994709,0.7324761509746993,0.7508694608151316,0.9974207294482994,0.9569299028312374,157.25,4.0,557.25,51.540145748000214
D3_PaySim,BRF,Balanced RF,0.42,0.9899888765294772,0.5686900958466453,0.7224025974025974,0.7436072922727179,0.9983584766173703,0.9750802731325935,168.75,2.25,393.75,3.1624794859999383
D3_PaySim,MLP_Focal,MLP + Focal Loss,0.14,0.9744160177975528,0.43237907206317866,0.598974358974359,0.6387707092132674,0.9956470791153534,0.9370934416925119,287.5,5.75,862.4999999999999,40.661931135999794
D3_PaySim,EasyEnsemble,EasyEnsemble,0.48,0.9877641824249166,0.24964858026426764,0.3985637342908438,0.4788273048713457,0.9931740193439317,0.8758953117331236,667.2500000000001,2.75,942.25,2.237591405000103
D3_PaySim,LR_balanced,LogReg balanced,0.34,0.9666295884315906,0.18481497235219055,0.31030173183360116,0.39974030902935587,0.9865664627861576,0.816629131020154,958.2499999999999,7.5,1708.25,1.469062441999995
